Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Event_id,Species,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2007,Jan-Jun 2007,Africa,Nigeria,"Zamfara","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2007,Jan-Jun 2007,Africa,Nigeria,"Zamfara","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,-,Animal,-,-,-,-,-
2007,Jul-Dec 2007,Africa,Nigeria,"Anambra","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2007,Jul-Dec 2007,Africa,Nigeria,"Anambra","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,1500,Animal,179,821,0,179,0
2007,Jul-Dec 2007,Africa,Nigeria,"Delta","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2007,Jul-Dec 2007,Africa,Nigeria,"Delta","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,-,Animal,-,-,-,45,-
2007,Jul-Dec 2007,Africa,Nigeria,"Edo","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,3,-,-,-,-,-,-,-
2007,Jul-Dec 2007,Africa,Nigeria,"Edo","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,7452,Animal,-,-,0,1267,0
2007,Jul-Dec 2007,Africa,Nigeria,"Ekiti","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2007,Jul-Dec 2007,Africa,Nigeria,"Ekiti","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,2400,Animal,-,-,-,1312,-
2007,Jul-Dec 2007,Africa,Nigeria,"Gombe","Rabies virus (Inf. with)","",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2007,Jul-Dec 2007,Africa,Nigeria,"Gombe","Rabies virus (Inf. with)","",Domestic,-,"Dogs",-,-,-,Animal,2,-,-,2,-
2007,Jul-Dec 2007,Africa,Nigeria,"Lagos","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2007,Jul-Dec 2007,Africa,Nigeria,"Lagos","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,3000,Animal,-,-,-,380,-
2007,Jul-Dec 2007,Africa,Nigeria,"Nasarawa","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2007,Jul-Dec 2007,Africa,Nigeria,"Nasarawa","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,65,Animal,-,-,0,11,0
2007,Jul-Dec 2007,Africa,Nigeria,"Ogun","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,21,-,-,-,-,-,-,-
2007,Jul-Dec 2007,Africa,Nigeria,"Ogun","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,69389,Animal,-,-,0,15252,0
2007,Jul-Dec 2007,Africa,Nigeria,"Oyo","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2007,Jul-Dec 2007,Africa,Nigeria,"Oyo","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,720,Animal,-,2,0,718,0
2007,Jul-Dec 2007,Africa,Nigeria,"Zamfara","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2007,Jul-Dec 2007,Africa,Nigeria,"Zamfara","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,3680,Animal,-,-,-,1262,-
2008,Jan-Jun 2008,Africa,Nigeria,"Adamawa","Trypanosomosis (tsetse-transmitted) (-2021)","",Both animal categories,-,"",-,5,-,-,-,-,-,-,-
2008,Jan-Jun 2008,Africa,Nigeria,"Adamawa","Trypanosomosis (tsetse-transmitted) (-2021)","",Domestic,-,"Cattle",-,-,1477,Animal,1436,3,18,7,0
2008,Jan-Jun 2008,Africa,Nigeria,"Bauchi","Rabies virus (Inf. with)","",Both animal categories,-,"",-,3,-,-,-,-,-,-,-
2008,Jan-Jun 2008,Africa,Nigeria,"Bauchi","Rabies virus (Inf. with)","",Domestic,-,"Dogs",-,-,4,Animal,16,1,0,1,281
2008,Jan-Jun 2008,Africa,Nigeria,"Federal Capital Territory","Trypanosomosis (tsetse-transmitted) (-2021)","",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2008,Jan-Jun 2008,Africa,Nigeria,"Federal Capital Territory","Trypanosomosis (tsetse-transmitted) (-2021)","",Domestic,-,"Cattle",-,-,600,Animal,113,0,3,0,0
2008,Jan-Jun 2008,Africa,Nigeria,"Gombe","Rabies virus (Inf. with)","",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2008,Jan-Jun 2008,Africa,Nigeria,"Gombe","Rabies virus (Inf. with)","",Domestic,-,"Dogs",-,-,1,Animal,1,0,0,1,-
2008,Jan-Jun 2008,Africa,Nigeria,"Kaduna","Rabies virus (Inf. with)","",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2008,Jan-Jun 2008,Africa,Nigeria,"Kaduna","Rabies virus (Inf. with)","",Domestic,-,"Dogs",-,-,-,Animal,-,6,-,-,-
2008,Jan-Jun 2008,Africa,Nigeria,"Kebbi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2008,Jan-Jun 2008,Africa,Nigeria,"Kebbi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,1,Animal,1,0,0,0,0
2008,Jan-Jun 2008,Africa,Nigeria,"Kwara","Rabies virus (Inf. with)","",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2008,Jan-Jun 2008,Africa,Nigeria,"Kwara","Rabies virus (Inf. with)","",Domestic,-,"Dogs",-,-,9,Animal,9,-,0,-,-
2008,Jan-Jun 2008,Africa,Nigeria,"Nasarawa","Trypanosomosis (tsetse-transmitted) (-2021)","",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2008,Jan-Jun 2008,Africa,Nigeria,"Nasarawa","Trypanosomosis (tsetse-transmitted) (-2021)","",Domestic,-,"Cattle",-,-,-,Animal,35,0,-,0,-
2008,Jan-Jun 2008,Africa,Nigeria,"Niger","Trypanosomosis (tsetse-transmitted) (-2021)","",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2008,Jan-Jun 2008,Africa,Nigeria,"Niger","Trypanosomosis (tsetse-transmitted) (-2021)","",Domestic,-,"Cattle",-,-,-,Animal,15,0,0,0,-
2008,Jan-Jun 2008,Africa,Nigeria,"Ondo","Rabies virus (Inf. with)","",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2008,Jan-Jun 2008,Africa,Nigeria,"Ondo","Rabies virus (Inf. with)","",Domestic,-,"Dogs",-,-,21,Animal,2,2,0,0,312
2008,Jan-Jun 2008,Africa,Nigeria,"Osun","Rabies virus (Inf. with)","",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2008,Jan-Jun 2008,Africa,Nigeria,"Osun","Rabies virus (Inf. with)","",Domestic,-,"Dogs",-,-,350,Animal,3,3,0,0,-
2008,Jan-Jun 2008,Africa,Nigeria,"Taraba","Rabies virus (Inf. with)","",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2008,Jan-Jun 2008,Africa,Nigeria,"Taraba","Rabies virus (Inf. with)","",Domestic,-,"Dogs",-,-,-,Animal,4,1,0,4,-
